Seed = 0

Generation = 1

     x(1)       x(2)       f(1)       CV	
----------------------------------------
   1.85858    1.14533 570042.76978    0.00000 
   3.07416    3.99261 244389.83390    0.00000 
   3.25969    4.87325  420.57009    0.00000 
   0.03783    1.43887  115.31772    0.00000 
   2.05617    4.67472  290.32049    0.00000 
   4.03058    4.69081 158675.76943    0.00000 
   1.91051    2.78774 334010.31532    0.00000 
   2.40719    1.71522 628299.00301    0.00000 
   1.86013    0.79128 596799.95043    0.00000 
   3.40142    4.67187 62595.80857    0.00000 
   4.99842    2.39372 899271.52645    0.00000 
   4.99454    0.43170 1013534.14537    0.00000 
   3.27646    2.88906 564747.41641    0.00000 
   2.81762    2.23922 623966.71224    0.00000 
   1.07972    4.27918  184.39853    0.00000 
   1.64410    0.15324 566035.08905    0.00000 
   3.89705    1.34394 883775.15306    0.00000 
   4.71496    2.40602 837716.66422    0.00000 
   0.20652    4.63854  256.68146    0.00000 
   3.66940    1.95758 784534.70118    0.00000 
   1.66352    0.11341 571442.06040    0.00000 
   1.33087    0.47983 473461.49981    0.00000 
   2.68324    2.18302 610274.22596    0.00000 
   2.12711    2.69460 403314.52973    0.00000 
   4.92076    4.15040 529429.52664    0.00000 
   4.90001    3.87349 596670.77140    0.00000 
   4.95735    2.03834 933764.30419    0.00000 
   3.88181    1.88910 814686.58566    0.00000 
   1.56782    1.88386 410478.38206    0.00000 
   0.64652    0.48902 261987.26924    0.00000 
   3.73538    3.56868 448794.96087    0.00000 
   3.42111    4.00180 288357.36605    0.00000 
   3.96106    1.91074 818109.07338    0.00000 
   1.38423    0.20600 495640.29907    0.00000 
   4.73365    4.34586 435413.11777    0.00000 
   0.38730    3.77367  108.25899    0.00000 
   1.89142    4.04693  138.38572    0.00000 
   3.38812    4.18354 227131.84381    0.00000 
   2.33274    2.79296 426368.52862    0.00000 
   2.18652    2.75311 404046.28232    0.00000 

Generation = 2

   1.33087    0.47983 473461.49981    0.00000 
   2.81762    2.23922 623966.71224    0.00000 
   2.05617    4.67472  290.32049    0.00000 
   0.03783    0.93030 19808.32454    0.00000 
   2.68324    2.90074 469954.21670    0.00000 
   4.03058    4.69081 158675.76943    0.00000 
   3.25969    4.87325  420.57009    0.00000 
   0.20652    4.63854  256.68146    0.00000 
   3.42111    4.30281 192282.52339    0.00000 
   1.32434    3.97792  130.73979    0.00000 
   0.55444    4.34586  195.05890    0.00000 
   4.89976    4.69838 366164.97648    0.00000 
   1.83155    2.38078 395904.66196    0.00000 
   1.03651    4.02440  139.52545    0.00000 
   1.89142    4.04693  138.38572    0.00000 
   2.93183    2.33523 625748.23847    0.00000 
   1.64410    4.39749  210.70229    0.00000 
   2.05617    4.51194  242.69370    0.00000 
   1.66352    0.11341 571442.06040    0.00000 
   4.95735    2.03834 933764.30419    0.00000 
   1.64410    0.15324 566035.08905    0.00000 
   3.42111    4.00180 288357.36605    0.00000 
   1.66478    0.49650 562770.79636    0.00000 
   1.22896    3.95322  127.81022    0.00000 
   3.05325    3.38648 413210.29859    0.00000 
   3.25969    4.67813 42132.09204    0.00000 
   0.03783    1.43887  115.31772    0.00000 
   0.14832    1.40180 19199.19278    0.00000 
   3.02159    4.63274 24296.77032    0.00000 
   1.91051    2.78774 334010.31532    0.00000 
   0.23076    3.77367  107.27398    0.00000 
   1.07972    4.27918  184.39853    0.00000 
   4.92076    4.15040 529429.52664    0.00000 
   3.39091    4.75224 32196.28157    0.00000 
   2.18652    2.75311 404046.28232    0.00000 
   3.38812    4.18354 227131.84381    0.00000 
   0.38730    3.77367  108.25899    0.00000 
   3.39863    4.18354 228431.84796    0.00000 
   1.86013    0.79128 596799.95043    0.00000 
   1.37707    1.93791 350780.28937    0.00000 

Generation = 3

   1.86013    0.79128 596799.95043    0.00000 
   2.27326    4.74802  318.61997    0.00000 
   0.55444    4.34586  195.05890    0.00000 
   0.43436    3.92916  126.08897    0.00000 
   2.02471    3.68758 136601.76598    0.00000 
   3.39863    4.18354 228431.84796    0.00000 
   1.64410    4.39749  210.70229    0.00000 
   0.03783    1.43887  115.31772    0.00000 
   0.03783    0.93030 19808.32454    0.00000 
   0.14832    1.40180 19199.19278    0.00000 
   0.23076    4.43423  208.64715    0.00000 
   1.32434    3.97792  130.73979    0.00000 
   0.28973    1.40180 71203.90918    0.00000 
   1.02042    1.26694 329240.14424    0.00000 
   2.50334    4.67472  301.24716    0.00000 
   1.66478    0.49650 562770.79636    0.00000 
   0.20652    4.63854  256.68146    0.00000 
   3.02159    4.63274 24296.77032    0.00000 
   1.03651    4.02440  139.52545    0.00000 
   2.05617    4.51194  242.69370    0.00000 
   4.28653    4.18354 374103.86164    0.00000 
   1.51113    4.39749  210.44965    0.00000 
   1.64410    4.39749  210.70229    0.00000 
   1.89142    4.04693  138.38572    0.00000 
   1.22896    3.95322  127.81022    0.00000 
   0.55444    4.25683  177.72611    0.00000 
   1.89142    4.04693  138.38572    0.00000 
   0.02295    4.19510  159.12186    0.00000 
   3.21408    4.48988 102262.14625    0.00000 
   0.23076    3.77367  107.27398    0.00000 
   1.32434    3.97792  130.73979    0.00000 
   4.26078    4.67314 225368.90741    0.00000 
   0.32321    4.12994  153.50962    0.00000 
   0.38730    3.75251  106.15516    0.00000 
   0.89770    3.95322  129.68645    0.00000 
   1.68128    3.77701 27802.97851    0.00000 
   1.07972    4.27918  184.39853    0.00000 
   3.42111    4.00180 288357.36605    0.00000 
   1.19410    4.02440  138.75005    0.00000 
   1.34387    4.96086  377.17216    0.00000 

Generation = 4

   0.26726    3.29184   75.15816    0.00000 
   1.68216    4.04312  138.67195    0.00000 
   2.50334    4.67472  301.24716    0.00000 
   0.02196    3.86356  114.10984    0.00000 
   0.43436    3.92916  126.08897    0.00000 
   1.19410    4.02440  138.75005    0.00000 
   0.32321    4.12994  153.50962    0.00000 
   0.65981    3.69461  100.63271    0.00000 
   1.32434    3.97792  130.73979    0.00000 
   1.64410    4.39749  210.70229    0.00000 
   1.89142    4.04693  138.38572    0.00000 
   1.32434    3.95154  126.81710    0.00000 
   1.34387    4.96086  377.17216    0.00000 
   2.27326    4.74802  318.61997    0.00000 
   1.76095    4.46740  228.41388    0.00000 
   1.51113    4.39749  210.44965    0.00000 
   1.32434    3.97792  130.73979    0.00000 
   0.26551    3.30155   75.53892    0.00000 
   0.89770    3.95322  129.68645    0.00000 
   0.38730    3.97933  132.25873    0.00000 
   1.07972    4.27918  184.39853    0.00000 
   0.56325    3.97792  133.07247    0.00000 
   1.89142    4.04693  138.38572    0.00000 
   0.20652    4.63854  256.68146    0.00000 
   0.20652    4.63854  256.68146    0.00000 
   0.23076    3.77367  107.27398    0.00000 
   0.38730    3.75251  106.15516    0.00000 
   0.03783    1.43887  115.31772    0.00000 
   0.11482    3.77367  106.13146    0.00000 
   0.92901    4.06027  145.39464    0.00000 
   1.54937    3.87921  114.39542    0.00000 
   0.89770    3.95322  129.68645    0.00000 
   0.55444    4.25683  177.72611    0.00000 
   0.02295    4.19510  159.12186    0.00000 
   0.93701    4.16588  162.97447    0.00000 
   1.32434    3.97792  130.73979    0.00000 
   0.14294    4.53618  229.75179    0.00000 
   1.38854    3.92916  123.01583    0.00000 
   0.55444    4.34586  195.05890    0.00000 
   0.51106    3.77373  108.60784    0.00000 

Generation = 5

   0.82747    3.57840   89.37496    0.00000 
   0.37084    3.84810  116.09233    0.00000 
   1.68216    4.04312  138.67195    0.00000 
   0.30466    3.81885  112.46895    0.00000 
   0.38730    3.75251  106.15516    0.00000 
   0.56325    3.97792  133.07247    0.00000 
   1.63244    3.96519  126.32598    0.00000 
   1.89142    4.04693  138.38572    0.00000 
   0.43436    3.92916  126.08897    0.00000 
   0.26551    3.30155   75.53892    0.00000 
   1.32434    3.97792  130.73979    0.00000 
   0.66156    3.41690   79.53840    0.00000 
   0.17057    1.63624  104.37634    0.00000 
   0.92901    4.06027  145.39464    0.00000 
   0.02196    3.86356  114.10984    0.00000 
   0.42466    3.89259  121.54841    0.00000 
   1.07972    4.27918  184.39853    0.00000 
   0.65981    3.69461  100.63271    0.00000 
   1.73297    3.92235  118.97141    0.00000 
   0.26250    3.78419  108.57407    0.00000 
   0.26726    3.29184   75.15816    0.00000 
   0.51106    3.77373  108.60784    0.00000 
   0.23076    3.90998  122.08472    0.00000 
   0.98685    3.99775  135.71902    0.00000 
   1.89142    4.04693  138.38572    0.00000 
   0.26517    3.39800   79.87764    0.00000 
   1.32434    3.95154  126.81710    0.00000 
   0.01224    4.16967  154.77729    0.00000 
   0.12493    4.04693  138.42675    0.00000 
   0.26759    3.12443   70.08073    0.00000 
   0.55813    3.25986   72.69740    0.00000 
   1.32434    3.97792  130.73979    0.00000 
   0.23076    3.77367  107.27398    0.00000 
   1.43949    3.96856  128.40978    0.00000 
   0.11482    3.77367  106.13146    0.00000 
   1.38854    3.92916  123.01583    0.00000 
   1.54937    3.87921  114.39542    0.00000 
   1.19410    4.02440  138.75005    0.00000 
   1.32434    3.97792  130.73979    0.00000 
   0.75603    3.79458  110.50995    0.00000 

Generation = 6

   0.02196    3.86356  114.10984    0.00000 
   0.26250    3.78419  108.57407    0.00000 
   0.23522    3.29143   75.12657    0.00000 
   0.38871    3.79097  110.03449    0.00000 
   0.37084    3.84810  116.09233    0.00000 
   0.92901    3.17925   64.70394    0.00000 
   0.38971    3.75515  106.42292    0.00000 
   0.98685    3.99775  135.71902    0.00000 
   1.38854    3.92916  123.01583    0.00000 
   0.96958    3.17135   63.66945    0.00000 
   0.66156    3.41690   79.53840    0.00000 
   1.44604    3.80006  105.07055    0.00000 
   0.01328    3.78419  105.84388    0.00000 
   0.06544    3.33854   76.36721    0.00000 
   0.26759    3.12443   70.08073    0.00000 
   0.42466    3.89259  121.54841    0.00000 
   0.26698    3.75251  105.49604    0.00000 
   0.13044    3.19732   71.86126    0.00000 
   0.11482    3.77367  106.13146    0.00000 
   0.30466    3.81885  112.46895    0.00000 
   0.21995    3.38716   79.24349    0.00000 
   0.42602    3.36654   78.18556    0.00000 
   0.55813    3.25986   72.69740    0.00000 
   1.32434    3.97792  130.73979    0.00000 
   1.89142    4.04693  138.38572    0.00000 
   0.24128    3.29184   75.14758    0.00000 
   0.26517    3.39800   79.87764    0.00000 
   0.39117    3.75963  106.87118    0.00000 
   0.82747    3.57840   89.37496    0.00000 
   0.09758    3.34198   76.70179    0.00000 
   1.68216    4.04312  138.67195    0.00000 
   0.26726    3.29184   75.15816    0.00000 
   1.43949    3.96856  128.40978    0.00000 
   0.26462    3.59985   92.46326    0.00000 
   0.75603    3.79458  110.50995    0.00000 
   1.73297    3.92235  118.97141    0.00000 
   1.32434    3.97792  130.73979    0.00000 
   0.17057    1.63624  104.37634    0.00000 
   0.02747    3.76915  104.60480    0.00000 
   0.10333    3.94461  124.68052    0.00000 

Generation = 7

   0.94772    3.60214   90.17609    0.00000 
   0.39117    3.75963  106.87118    0.00000 
   0.96958    3.17135   63.66945    0.00000 
   0.02747    3.76915  104.60480    0.00000 
   0.27558    3.33517   76.94206    0.00000 
   0.26726    3.29184   75.15816    0.00000 
   0.26726    3.47976   84.38621    0.00000 
   0.42602    3.36654   78.18556    0.00000 
   0.26462    3.59985   92.46326    0.00000 
   0.16900    3.12628   70.20547    0.00000 
   0.26517    3.39800   79.87764    0.00000 
   0.20393    3.29184   75.09907    0.00000 
   0.23535    3.65512   96.63439    0.00000 
   0.28910    3.09839   69.46863    0.00000 
   0.06544    3.33854   76.36721    0.00000 
   0.38624    3.18559   71.24655    0.00000 
   0.13044    3.19732   71.86126    0.00000 
   0.13244    3.13466   70.34079    0.00000 
   0.92901    3.17925   64.70394    0.00000 
   0.26487    3.29184   75.15798    0.00000 
   0.21995    3.38716   79.24349    0.00000 
   0.24128    3.39342   79.60265    0.00000 
   0.02747    3.76915  104.60480    0.00000 
   0.10602    3.57086   89.33021    0.00000 
   0.27862    3.36961   78.50787    0.00000 
   0.16110    3.15617   70.86923    0.00000 
   0.17176    3.62659   93.92460    0.00000 
   0.59680    3.17925   69.44276    0.00000 
   0.26250    3.42709   81.38476    0.00000 
   0.23522    3.29143   75.12657    0.00000 
   0.24128    3.29184   75.14758    0.00000 
   0.02196    3.86356  114.10984    0.00000 
   0.14897    3.20068   71.99849    0.00000 
   0.26698    3.75251  105.49604    0.00000 
   0.55813    3.25986   72.69740    0.00000 
   0.66156    3.41690   79.53840    0.00000 
   0.23503    3.28851   75.01524    0.00000 
   0.26759    3.12443   70.08073    0.00000 
