Seed = 0

Generation = 1

     x(1)       x(2)       f(1)       CV	
----------------------------------------
   4.57791    1.43150  129.84343    0.00000 
   1.10292    2.74589   52.22782    0.00000 
   2.44271    1.42953   19.30521    0.00000 
   3.55267    2.56516   27.34156    0.00000 
   3.29123    4.92970  446.75199    0.00000 
   4.71658    1.21407  155.91249    0.00000 
   1.83575    0.90020   64.24699    0.00000 
   4.51934    3.40519  247.67633    0.00000 
   2.08828    0.01503   68.00109    0.00000 
   1.59960    3.93321  121.72302    0.00000 
   1.03132    4.10236  151.99027    0.00000 
   2.28011    3.86546  108.23447    0.00000 
   1.58479    0.19603   97.67402    0.00000 
   2.70907    3.45236   58.22737    0.00000 
   2.29167    2.61221   14.30940    0.00000 
   3.38029    4.50051  300.99448    0.00000 
   3.77652    1.81591   25.79166    0.00000 
   3.16072    4.79047  379.45997    0.00000 
   0.29705    1.06217  128.09235    0.00000 
   4.21697    2.23385   86.17200    0.00000 
   2.45702    1.09007   26.25435    0.00000 
   1.52513    0.31423   98.78820    0.00000 
   0.21119    0.39323  155.57184    0.00000 
   1.21497    4.88343  347.80188    0.00000 
   1.23795    2.34585   50.78475    0.00000 
   2.58799    3.79033   99.35539    0.00000 
   1.17434    1.72958   70.30618    0.00000 
   2.60025    1.26975   16.58460    0.00000 
   4.40157    1.55499   98.61368    0.00000 
   1.48484    1.63460   59.35876    0.00000 
   0.46780    4.56316  242.87536    0.00000 
   3.52824    1.96203   11.77446    0.00000 
   1.06327    4.38269  206.22989    0.00000 
   2.83610    1.12659   11.72783    0.00000 
   4.72670    4.34075  520.46495    0.00000 
   0.15991    3.87541  117.28686    0.00000 
   0.36510    1.41141  110.95846    0.00000 
   2.82141    3.22499   38.74698    0.00000 
   4.50525    3.65929  286.58623    0.00000 
   1.61306    2.55455   35.44304    0.00000 

Generation = 2

   1.83575    0.90020   64.24699    0.00000 
   1.23795    3.22467   60.46928    0.00000 
   4.04404    2.88044   96.33689    0.00000 
   1.58479    0.19603   97.67402    0.00000 
   1.23795    2.34585   50.78475    0.00000 
   3.52824    1.96203   11.77446    0.00000 
   3.04459    1.96203    0.06482    0.00000 
   1.52513    0.31423   98.78820    0.00000 
   2.33125    2.52007   12.10240    0.00000 
   1.17434    1.72958   70.30618    0.00000 
   1.61306    2.55455   35.44304    0.00000 
   2.58799    3.79033   99.35539    0.00000 
   2.29167    2.61221   14.30940    0.00000 
   0.36510    1.41141  110.95846    0.00000 
   2.82141    3.22499   38.74698    0.00000 
   2.50423    2.47407    7.72548    0.00000 
   2.60025    1.58730   10.56522    0.00000 
   4.21697    2.23385   86.17200    0.00000 
   2.31480    3.17484   35.18506    0.00000 
   2.60025    1.26975   16.58460    0.00000 
   2.45702    1.09007   26.25435    0.00000 
   2.66413    0.09954   33.17556    0.00000 
   3.55267    2.56516   27.34156    0.00000 
   1.83575    0.90020   64.24699    0.00000 
   2.83610    1.12659   11.72783    0.00000 
   3.53822    2.18046   15.35723    0.00000 
   2.44271    1.42953   19.30521    0.00000 
   1.06327    4.38269  206.22989    0.00000 
   2.70907    3.45236   58.22737    0.00000 
   1.48484    1.63460   59.35876    0.00000 
   3.77652    1.81591   25.79166    0.00000 
   3.77652    1.81591   25.79166    0.00000 
   1.61306    2.55455   35.44304    0.00000 
   3.07027    2.52563    6.90464    0.00000 
   1.86870    0.90020   62.33296    0.00000 
   2.83610    1.70283    3.17007    0.00000 
   2.39938    0.93492   32.44636    0.00000 
   1.30497    1.38993   76.68380    0.00000 
   2.29167    2.97535   24.86482    0.00000 
   2.35130    0.25326   48.24727    0.00000 

Generation = 3

   3.55204    2.62186   29.70635    0.00000 
   2.38490    1.53651   19.33791    0.00000 
   3.07027    2.52563    6.90464    0.00000 
   1.29322    1.81591   62.22938    0.00000 
   2.82141    3.30923   45.93832    0.00000 
   3.39956    1.49439    6.07764    0.00000 
   1.61306    2.55455   35.44304    0.00000 
   3.04459    1.96203    0.06482    0.00000 
   1.48484    1.63460   59.35876    0.00000 
   2.35884    2.55856   11.90814    0.00000 
   2.83610    1.70283    3.17007    0.00000 
   2.33125    2.52007   12.10240    0.00000 
   1.48484    1.93662   50.15488    0.00000 
   3.04459    2.38545    3.43901    0.00000 
   2.44466    1.26975   22.75336    0.00000 
   2.89960    1.70629    2.19876    0.00000 
   2.88881    1.70283    2.37401    0.00000 
   2.50423    2.47407    7.72548    0.00000 
   3.07027    2.52563    6.90464    0.00000 
   1.61306    2.55455   35.44304    0.00000 
   2.39938    0.93492   32.44636    0.00000 
   2.85571    2.52563    5.09507    0.00000 
